date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,30.9,23.8,38.0,1.11
,35.2,28.5,41.7,4.15
,40.5,33.2,47.7,1.38
,45.6,34.5,56.7,1.21
,63.6,49.7,77.6,1.00
,68.3,54.0,82.7,0.47
,69.2,54.1,84.3,1.33
,62.0,47.4,76.6,0.27
,53.6,40.1,67.1,0.55
,45.3,32.3,58.2,0.52
,38.8,29.6,47.9,2.60
,28.0,20.2,35.7,3.46
,27.3,18.6,36.1,2.37
,32.3,26.1,38.5,4.21
,33.5,26.5,40.4,4.67
,49.7,37.0,62.4,0.84
,61.7,47.8,75.7,0.44
,67.5,51.9,83.0,0.44
,72.1,56.0,88.3,0.24
,61.0,46.2,75.7,0.80
,49.0,36.4,61.7,1.76
,44.2,31.9,56.4,1.82
,37.2,26.9,47.5,1.85
,33.2,25.4,41.0,2.53
,28.1,22.3,33.9,3.72
,31.1,24.8,37.4,2.37
,36.7,28.4,44.9,2.07
,48.1,36.7,59.5,0.81
,57.6,44.4,70.8,0.43
,67.6,53.9,81.4,2.37
,70.4,54.1,86.8,0.09
,59.0,46.0,71.9,1.64
,55.0,42.2,67.7,1.96
,40.5,29.3,51.6,2.07
,29.9,21.2,38.5,3.79
,27.2,17.8,36.7,1.19
,26.5,18.8,34.1,1.58
,24.3,17.8,30.8,3.61
,29.1,20.6,37.6,2.33
,51.8,39.0,64.4,0.91
,62.7,48.0,77.4,0.47
,72.6,56.9,88.3,0.31
,71.0,55.3,86.8,0.16
,57.7,45.1,70.3,1.75
,46.7,35.5,57.9,3.30
,38.1,27.3,48.9,2.64
,39.2,29.2,49.1,0.92
,28.0,18.4,37.7,0.81
,26.1,18.2,33.9,2.01
,27.9,21.4,34.4,3.54
,37.9,30.2,45.7,1.70
,46.8,36.4,57.2,1.52
,58.5,43.6,73.4,0.77
,66.2,51.3,81.2,0.81
,74.3,58.3,90.2,0.26
,66.2,51.0,81.4,0.46
,50.8,38.1,63.4,0.83
,45.1,31.7,58.5,0.63
,36.9,25.8,48.0,0.85
,28.3,20.8,35.7,3.62
,29.3,22.7,36.0,2.81
,29.3,21.5,37.1,1.99
,34.4,26.0,42.9,2.48
,48.9,36.2,61.6,0.92
,62.0,46.9,77.0,0.42
,68.0,52.6,83.4,0.25
,66.5,50.9,82.2,0.10
,57.3,45.1,69.4,2.56
,52.0,39.7,64.4,2.71
,44.4,31.7,57.1,0.87
,38.0,27.6,48.4,1.49
,31.1,21.7,40.4,2.01
,30.0,23.9,36.0,4.36
,29.6,23.8,35.4,2.05
,37.1,27.3,46.8,0.75
,39.6,28.6,50.6,1.12
,56.0,44.0,68.0,1.52
