date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,39.3,32.5,46.1,4.71
,41.9,37.1,46.7,17.70
,44.6,38.6,50.4,7.98
,47.9,39.6,56.1,6.71
,62.2,50.8,73.5,1.41
,67.2,55.0,79.4,0.70
,65.9,52.7,79.1,0.07
,59.3,47.3,71.3,1.30
,52.4,41.7,63.0,2.92
,47.5,37.1,57.9,3.10
,42.5,35.2,49.8,11.06
,35.8,29.7,42.0,9.34
,37.0,30.0,43.9,5.06
,39.3,34.1,44.6,13.13
,40.5,35.7,45.4,11.60
,50.3,41.0,59.7,5.41
,60.8,50.0,71.7,1.48
,64.0,52.3,75.6,1.37
,67.6,53.9,81.4,0.24
,58.1,47.1,69.1,3.42
,50.2,40.6,59.9,6.16
,45.4,36.7,54.1,4.38
,41.9,34.0,49.8,6.49
,39.0,33.2,44.7,8.25
,36.3,31.6,41.0,16.47
,41.3,36.2,46.3,12.93
,42.2,36.2,48.2,8.05
,51.4,43.1,59.6,5.27
,57.9,48.2,67.5,3.07
,67.5,55.1,79.8,0.64
,66.1,52.4,79.7,0.07
,59.0,46.9,71.2,1.14
,56.1,45.0,67.2,1.26
,43.6,35.4,51.8,8.89
,37.2,29.9,44.4,8.29
,35.6,28.9,42.3,5.79
,37.4,32.0,42.8,4.70
,34.6,29.6,39.6,10.93
,37.2,31.1,43.4,11.93
,56.0,46.1,66.0,5.01
,62.3,50.8,73.8,0.84
,68.4,55.2,81.5,0.10
,66.9,54.2,79.7,0.41
,56.9,47.5,66.3,7.05
,47.9,39.7,56.0,9.29
,41.1,33.3,49.0,9.37
,43.0,35.5,50.5,7.05
,38.8,31.1,46.5,4.58
,38.8,32.2,45.4,9.26
,36.0,31.5,40.4,14.45
,44.0,38.3,49.8,11.86
,47.6,40.1,55.2,6.69
,59.0,47.4,70.5,4.81
,64.8,52.7,77.0,0.25
,66.8,53.6,80.0,0.00
,63.6,51.6,75.5,1.89
,52.2,41.9,62.6,2.63
,47.4,35.8,58.8,1.23
,40.6,31.8,49.4,4.20
,35.8,30.9,40.6,10.74
,39.1,33.8,44.4,10.73
,38.7,33.2,44.1,11.15
,40.8,34.9,46.7,10.38
,51.2,42.0,60.4,5.24
,61.9,51.4,72.4,3.16
,64.0,51.2,76.7,0.34
,63.4,51.3,75.5,0.28
,56.3,47.0,65.5,5.09
,52.8,43.3,62.2,5.38
,47.3,37.4,57.2,3.04
,39.8,31.9,47.8,5.72
,38.4,31.1,45.7,6.71
,39.2,34.9,43.4,16.25
,38.4,33.6,43.2,6.42
,43.0,35.7,50.3,2.60
,45.2,36.6,53.8,5.12
,56.2,48.2,64.2,5.53
,64.7,53.1,76.3,0.98
,62.0,51.3,72.7,0.61
,58.0,46.7,69.2,1.93
,54.0,43.8,64.3,2.91
,46.3,38.3,54.4,10.19
,39.9,30.6,49.1,3.25
,31.6,26.3,37.0,10.16
,39.1,33.2,45.0,5.81
,37.4,32.5,42.2,11.25
,42.7,36.3,49.0,7.26
,51.0,41.9,60.1,5.56
,56.9,45.5,68.3,1.17
,65.4,52.9,78.0,0.41
,67.0,53.2,80.9,0.03
,57.4,46.4,68.4,1.72
,55.6,45.2,66.0,0.76
,45.8,37.3,54.3,8.67
,40.3,32.7,48.0,5.76
,36.5,30.4,42.6,6.70
,40.0,35.0,45.0,10.02
,36.2,30.6,41.8,6.91
,41.1,36.2,46.0,12.34
,48.8,40.0,57.5,9.90
,60.7,50.2,71.2,5.01
,68.4,54.8,82.0,0.23
,64.7,51.0,78.4,0.04
,58.6,48.3,69.0,2.67
,53.4,42.6,64.2,4.52
,43.6,36.0,51.2,8.61
,41.5,35.4,47.7,14.72
,36.6,31.1,42.1,13.41
,31.1,25.0,37.2,6.13
,32.1,27.1,37.1,10.94
,45.7,40.2,51.1,9.36
,48.6,42.7,54.4,16.69
,56.3,45.7,66.8,2.49
,65.1,51.8,78.3,0.27
,61.6,50.5,72.6,0.93
,58.7,47.7,69.6,3.00
