date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,44.2,36.6,51.8,7.46
,45.0,39.3,50.8,20.24
,47.5,41.4,53.6,10.72
,50.8,42.2,59.3,8.76
,61.7,51.4,72.1,2.11
,64.9,53.7,76.0,2.49
,62.6,51.3,73.9,0.06
,58.6,47.8,69.4,1.36
,52.3,41.8,62.8,2.58
,49.3,38.6,60.0,3.70
,45.4,38.8,52.1,9.32
,39.9,33.8,46.0,11.97
,39.8,32.0,47.5,4.90
,44.2,38.1,50.1,15.91
,44.3,38.3,50.3,14.40
,52.5,42.9,62.2,6.25
,60.7,50.8,70.5,1.34
,63.0,52.4,73.5,1.06
,64.6,53.0,76.3,0.49
,56.7,46.4,67.0,4.18
,51.7,41.9,61.4,4.30
,47.4,38.0,56.8,5.54
,44.6,36.6,52.6,8.68
,42.8,36.5,49.0,10.73
,41.2,36.1,46.4,17.13
,44.9,39.3,50.5,18.25
,44.7,37.6,51.9,12.03
,53.6,44.9,62.3,5.34
,58.5,48.0,68.9,3.83
,65.8,55.2,76.4,1.05
,63.3,51.8,74.8,0.38
,57.4,46.9,68.0,0.65
,56.1,46.1,66.1,1.29
,45.9,37.9,53.9,9.49
,40.8,33.0,48.7,8.09
,39.2,32.3,46.0,6.69
,41.8,36.3,47.4,8.35
,39.2,33.8,44.6,13.76
,41.2,33.2,49.1,14.39
,56.6,46.4,66.9,5.32
,61.8,50.7,72.8,0.92
,65.5,54.6,76.5,0.11
,63.8,53.6,74.0,0.23
,57.2,48.3,66.1,4.44
,49.5,41.3,57.7,7.57
,44.1,35.8,52.4,9.80
,44.6,37.0,52.0,6.41
,42.1,35.2,49.0,6.83
,42.4,35.3,49.4,15.31
,38.6,33.6,43.6,14.18
,46.7,41.0,52.4,16.20
,50.4,42.8,58.0,9.69
,58.8,47.8,69.8,5.71
,62.8,52.2,73.4,0.44
,62.9,52.1,73.7,0.11
,60.9,50.2,71.6,2.82
,52.9,43.3,62.4,1.99
,48.5,37.2,59.8,1.61
,41.8,33.3,50.3,5.81
,40.1,35.2,44.9,13.49
,42.3,36.5,48.2,17.43
,42.6,36.6,48.6,12.08
,43.9,37.0,50.8,13.61
,52.3,44.0,60.6,6.45
,62.5,52.9,72.1,5.14
,62.4,51.3,73.5,0.78
,61.0,50.8,71.2,0.58
,56.9,48.1,65.7,3.79
,54.4,45.0,63.8,4.30
,47.9,37.8,57.9,3.03
,41.5,33.4,49.7,6.10
