date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,41.1,33.0,49.2,4.01
,44.1,38.8,49.4,13.38
,46.8,41.0,52.6,6.83
,50.6,41.6,59.6,5.89
,63.0,51.2,74.9,1.24
,68.0,54.9,81.0,0.69
,65.4,51.9,78.9,0.02
,60.1,47.3,72.9,0.75
,53.9,41.8,66.0,1.46
,49.9,38.2,61.6,2.07
,45.7,38.1,53.3,6.03
,39.1,32.7,45.5,6.76
,38.1,30.0,46.1,2.84
,41.8,36.4,47.3,10.42
,44.1,38.8,49.5,10.70
,52.5,42.5,62.4,4.25
,62.5,51.7,73.4,0.99
,65.3,53.0,77.5,0.84
,67.5,53.4,81.7,0.28
,59.0,47.0,70.9,2.09
,53.1,42.2,63.9,3.01
,48.6,38.4,58.8,2.71
,45.0,36.7,53.4,5.70
,42.8,36.7,48.9,6.66
,39.4,34.8,44.1,12.19
,43.4,38.0,48.7,11.12
,44.2,37.2,51.2,7.35
,53.7,44.7,62.7,3.77
,60.5,49.4,71.6,2.36
,69.6,56.6,82.5,0.77
,66.8,53.0,80.6,0.11
,60.2,47.8,72.6,0.69
,58.7,46.7,70.6,1.10
,46.9,38.4,55.5,6.81
,41.3,33.6,49.1,5.58
,38.2,31.6,44.7,4.76
,40.6,35.3,45.9,5.19
,37.8,32.7,43.0,9.53
,40.0,32.3,47.7,8.80
,57.2,46.0,68.4,3.40
,63.7,51.1,76.4,0.34
,69.3,55.8,82.8,0.01
,67.7,54.7,80.6,0.19
,59.5,49.3,69.8,2.76
,51.3,42.0,60.5,4.79
,44.7,35.9,53.6,7.01
,45.8,37.7,54.0,3.68
,41.2,34.0,48.4,4.42
,40.3,33.8,46.8,7.85
,37.2,33.0,41.3,10.00
,46.1,40.8,51.4,9.87
,49.8,42.5,57.1,6.47
,60.4,48.3,72.4,3.78
,66.1,53.6,78.5,0.19
,66.5,53.6,79.5,0.02
,63.9,51.2,76.6,2.29
,54.3,43.0,65.6,1.56
,49.6,36.5,62.7,1.11
,42.5,33.1,51.9,3.27
,39.0,34.3,43.6,8.03
,42.1,36.8,47.4,10.28
,41.4,35.6,47.2,8.22
,43.0,36.7,49.4,8.96
,52.7,43.7,61.6,3.72
,63.7,53.0,74.5,4.21
,65.6,52.0,79.1,0.33
,64.2,52.1,76.3,0.40
,59.3,49.5,69.1,3.01
,55.6,45.4,66.0,3.21
,49.7,38.4,60.9,1.63
