date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,47.0,38.5,55.5,5.00
,48.0,41.7,54.4,9.31
,50.6,43.2,57.9,5.08
,54.5,44.9,64.0,4.94
,63.6,52.3,74.8,2.18
,66.8,55.3,78.4,0.34
,64.2,53.0,75.4,0.15
,59.9,49.0,70.9,0.59
,54.5,43.8,65.2,1.42
,50.7,40.8,60.6,2.60
,46.9,39.2,54.6,16.29
,43.5,36.0,50.9,8.40
,44.2,34.8,53.5,5.86
,46.7,39.6,53.9,13.87
,46.2,39.4,53.1,14.43
,56.2,45.2,67.2,4.24
,62.8,51.6,74.1,1.06
,64.5,53.3,75.8,1.43
,65.9,53.8,78.0,0.15
,59.0,48.2,69.8,1.32
,53.7,42.8,64.6,3.61
,48.7,39.0,58.3,2.96
,46.2,37.7,54.7,12.09
,45.9,39.5,52.2,10.10
,47.0,41.4,52.7,16.94
,48.1,42.4,53.8,14.01
,48.8,41.0,56.6,7.79
,56.3,46.8,65.8,4.04
,61.2,50.0,72.4,3.24
,67.2,55.4,79.0,0.22
,64.6,53.0,76.3,0.04
,58.4,47.8,69.0,0.28
,55.8,46.4,65.2,1.32
,47.3,38.9,55.6,7.95
,40.9,33.2,48.6,10.78
,41.1,32.5,49.6,5.41
,42.8,35.4,50.2,8.10
,43.0,36.7,49.3,11.96
,44.4,35.6,53.1,7.61
,58.7,48.6,68.8,1.56
,63.4,52.0,74.8,1.14
,67.0,55.6,78.4,0.05
,65.0,54.0,76.0,0.21
,59.2,49.1,69.2,3.34
,51.4,42.2,60.7,5.98
,46.2,36.8,55.5,7.98
,47.4,38.6,56.2,5.63
,45.4,35.9,54.8,2.44
,46.2,37.5,54.9,4.67
,42.6,37.3,47.8,12.84
,50.0,42.6,57.6,7.07
,53.2,44.5,61.9,6.28
,61.9,49.0,74.7,4.17
,64.9,52.9,76.9,0.13
,65.0,53.8,76.3,0.04
,62.0,51.1,73.0,2.69
,54.0,43.3,64.8,1.06
,50.2,38.4,62.0,1.03
,44.3,34.7,53.8,6.46
,43.6,36.8,50.4,9.38
,44.8,37.7,51.8,11.58
,44.9,37.3,52.6,9.87
,47.0,38.7,55.4,7.52
,56.7,46.0,67.5,2.23
,65.3,53.4,77.2,1.71
,65.0,52.6,77.5,0.24
,63.5,52.0,75.1,0.01
,59.1,49.0,69.1,2.07
,55.3,45.1,65.4,5.31
,51.1,41.1,61.1,2.67
,44.3,35.3,53.3,4.97
,43.7,34.6,52.8,3.00
,44.9,39.1,50.6,13.42
,44.4,38.2,50.7,9.87
,48.6,39.5,57.7,3.12
,52.5,41.4,63.6,2.05
,61.4,51.7,71.1,5.24
,65.8,54.0,77.7,0.82
,64.1,53.0,75.1,0.52
,60.0,48.5,71.4,0.55
,55.4,45.9,64.9,3.61
,51.4,42.9,59.9,9.85
,46.0,35.6,56.3,3.94
,39.2,32.6,45.7,17.54
,46.4,38.4,54.4,8.88
,44.2,37.0,51.4,10.04
,49.3,40.8,57.8,6.31
,55.5,45.1,65.8,3.02
,60.3,47.6,73.0,0.61
,64.8,53.7,76.0,0.09
,65.5,53.8,77.2,0.00
,59.2,47.8,70.6,0.75
,56.0,46.4,65.5,0.31
,49.8,40.2,59.3,6.35
,45.0,35.9,54.0,11.17
,43.2,34.7,51.7,4.61
,46.7,39.8,53.6,10.16
,44.5,36.3,52.7,4.06
,48.0,40.7,55.3,10.45
,54.8,43.8,65.7,5.35
,63.2,51.4,75.0,1.76
,66.8,54.8,78.8,0.08
,63.5,51.8,75.2,0.05
,59.4,49.5,69.4,2.03
,55.3,45.1,65.4,3.37
,48.8,39.9,57.6,8.82
,47.5,40.0,55.0,12.37
,44.9,38.3,51.5,17.81
,40.9,33.3,48.4,11.92
,40.2,33.0,47.3,10.26
,50.9,44.2,57.5,12.54
,55.4,48.2,62.5,17.38
,60.8,48.5,73.1,0.27
,64.6,52.3,76.9,0.01
,63.2,52.7,73.6,1.00
,60.1,49.1,71.0,0.85
,56.1,46.0,66.2,0.94
,54.1,43.7,64.5,3.76
,48.6,40.3,56.8,12.83
,49.6,41.4,57.9,5.31
,45.3,38.7,51.9,14.32
,44.2,38.6,49.7,26.01
,46.3,38.4,54.2,7.10
,58.6,48.7,68.4,2.82
,60.6,48.9,72.3,0.99
,65.2,53.5,76.8,0.98
,66.3,54.7,78.0,0.03
,61.6,50.8,72.3,0.44
,55.5,46.6,64.5,0.81
,49.2,39.1,59.4,3.63
,51.3,41.7,60.9,6.23
,50.2,42.0,58.5,9.54
,48.9,40.6,57.3,3.62
,47.6,41.9,53.3,14.85
,50.4,42.4,58.3,8.51
,59.1,49.8,68.4,8.15
,64.1,51.4,76.7,2.35
,65.9,54.5,77.2,0.15
,65.3,54.2,76.4,0.61
,59.1,48.8,69.5,1.27
,56.8,46.2,67.4,2.94
,51.2,40.9,61.5,3.72
,49.2,40.1,58.3,9.19
,46.9,39.8,53.9,11.40
,47.4,38.2,56.6,3.66
,40.3,32.1,48.6,2.24
,47.9,39.7,56.1,4.86
,53.3,42.9,63.7,0.93
,61.5,51.6,71.5,7.55
,64.7,53.5,75.8,0.92
,64.5,52.8,76.3,0.00
,60.2,49.7,70.8,1.18
,55.4,45.0,65.7,3.44
,50.3,41.1,59.4,4.07
,47.4,38.4,56.4,3.98
,43.7,35.9,51.6,3.88
,42.2,34.4,49.9,5.49
,42.0,36.8,47.3,15.97
,49.4,42.7,56.1,12.68
,54.9,45.2,64.6,7.57
,61.3,48.6,74.0,0.01
,63.9,52.2,75.6,0.08
,62.5,52.7,72.3,0.81
,56.4,46.7,66.1,4.42
,52.8,42.3,63.2,2.41
,49.6,41.2,58.1,6.76
,43.0,35.2,50.9,19.64
,43.8,36.1,51.6,6.54
,44.1,35.6,52.6,12.16
,40.9,31.9,49.8,5.51
,46.0,38.5,53.4,8.25
,55.4,46.0,64.8,4.15
,62.6,50.1,75.2,0.35
,64.0,52.4,75.6,0.03
,61.7,51.3,72.2,0.91
,57.4,47.7,67.2,1.49
,50.4,41.4,59.3,4.04
,45.6,36.9,54.3,7.58
,45.3,38.5,52.0,15.41
,42.1,34.0,50.1,8.07
,45.4,37.2,53.6,4.64
,44.5,39.0,50.0,13.17
,45.7,39.6,51.8,9.84
,54.3,44.1,64.4,4.68
,62.0,51.4,72.6,2.03
,62.6,51.4,73.8,0.16
,61.8,50.2,73.5,0.14
,56.7,47.4,65.9,4.39
,50.8,41.5,60.1,5.25
,46.8,37.5,56.1,8.85
,46.1,36.6,55.6,9.75
,47.2,39.8,54.6,7.60
,47.4,41.6,53.2,9.05
,41.4,33.6,49.3,6.97
,47.1,38.7,55.4,9.16
,53.2,43.8,62.6,5.02
,62.8,49.9,75.6,1.25
,64.2,52.1,76.3,0.33
,64.8,53.0,76.5,0.11
,59.1,49.5,68.6,1.36
,54.6,44.0,65.2,3.25
,47.9,38.0,57.9,3.16
,43.8,35.7,52.0,9.10
,44.8,36.4,53.2,7.72
,45.3,36.2,54.3,4.35
,41.4,34.3,48.4,12.65
,51.4,43.6,59.2,8.42
