date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,35.2,25.9,44.4,0.49
,37.5,29.4,45.6,2.64
,41.6,31.8,51.4,0.85
,45.0,31.8,58.3,0.82
,61.9,45.5,78.3,0.98
,67.3,50.8,83.7,0.33
,67.5,49.9,85.2,0.47
,60.0,43.3,76.8,0.22
,51.4,36.1,66.7,0.83
,44.3,29.6,59.0,0.45
,38.8,28.4,49.1,2.08
,29.8,20.0,39.7,1.95
,31.1,19.8,42.4,1.04
,34.2,26.2,42.3,3.45
,35.1,26.5,43.7,2.36
,48.8,33.8,63.8,0.76
,60.4,43.7,77.0,0.24
,64.6,47.1,82.2,0.27
,70.7,51.9,89.5,0.15
,59.2,42.6,75.8,0.25
,47.8,33.5,62.1,1.53
,42.3,29.2,55.4,0.77
,37.2,25.8,48.6,0.97
,34.0,25.3,42.7,1.71
,32.0,24.7,39.4,2.93
,35.1,28.1,42.1,1.46
,37.8,28.2,47.4,1.23
,48.2,34.8,61.6,0.90
,55.6,41.2,70.0,1.30
,66.9,51.2,82.5,0.87
,68.6,50.4,86.7,0.03
,58.8,43.6,74.0,0.39
,53.6,40.0,67.3,2.27
,41.7,28.8,54.6,1.00
,30.4,19.9,40.9,2.26
,30.2,19.0,41.4,0.65
,29.7,20.6,38.8,0.94
,26.8,18.0,35.6,2.42
,30.1,20.0,40.2,1.52
,52.6,36.8,68.4,0.58
,61.4,44.4,78.4,0.41
,70.9,53.4,88.5,0.32
,69.8,51.7,87.8,0.28
,56.9,42.6,71.2,2.03
,46.2,33.3,59.0,1.47
,38.1,25.8,50.4,1.56
,39.7,28.0,51.4,0.63
,34.2,21.5,46.8,0.26
,33.1,23.0,43.1,1.18
,30.3,22.2,38.4,1.40
,40.1,30.5,49.6,1.44
,46.1,33.6,58.6,1.24
,57.9,40.8,75.0,1.04
,65.7,48.3,83.0,0.16
,71.6,53.7,89.5,0.22
,64.7,48.2,81.2,0.55
,50.5,35.6,65.3,0.64
,44.5,29.0,60.0,0.27
,37.4,24.6,50.2,0.31
,31.4,21.8,40.9,1.35
,32.1,23.7,40.4,1.30
,31.9,23.0,40.8,0.88
,36.6,26.6,46.6,2.33
,49.8,33.9,65.8,0.36
,61.9,43.9,79.9,0.26
,66.7,49.1,84.4,0.06
,65.7,47.2,84.2,0.10
,56.9,42.1,71.6,0.91
,51.0,36.6,65.5,1.78
,44.6,30.4,58.8,0.73
