date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,47.8,39.5,56.1,7.36
,47.5,41.4,53.5,13.03
,50.0,43.2,56.7,8.72
,54.0,45.5,62.5,6.03
,65.4,54.5,76.3,2.38
,68.3,55.2,81.5,0.19
,67.2,54.2,80.2,0.05
,62.6,50.2,75.1,0.25
,54.9,43.3,66.5,1.50
,51.3,40.7,61.8,3.58
,45.1,37.6,52.6,21.33
,42.2,35.4,49.0,12.53
,45.5,37.3,53.7,7.85
,46.3,40.1,52.5,18.72
,45.3,39.1,51.5,18.01
,56.8,46.6,67.0,4.44
,64.4,52.4,76.4,0.85
,64.9,53.1,76.8,2.07
,70.0,56.0,84.0,0.07
,60.6,48.0,73.2,1.80
,54.7,42.8,66.7,3.31
,48.6,38.5,58.6,3.62
,44.8,36.9,52.8,15.13
,44.2,38.4,50.0,14.26
,45.5,40.7,50.4,24.02
,46.8,41.8,51.9,17.95
,48.3,41.4,55.3,10.15
,56.3,47.3,65.3,4.28
,61.4,50.3,72.5,3.49
,68.5,55.7,81.2,0.13
,66.6,53.2,79.9,0.01
,60.0,48.1,72.0,0.35
,55.5,45.2,65.8,1.27
,46.6,37.9,55.2,9.28
,39.2,32.0,46.3,14.82
,40.4,32.4,48.3,7.20
,42.6,36.2,48.9,12.70
,42.1,36.5,47.7,17.55
,44.2,36.5,51.9,8.12
,59.8,48.8,70.8,1.21
,64.5,52.9,76.1,0.81
,68.2,55.6,80.8,0.20
,66.2,54.3,78.1,0.41
,59.4,48.6,70.2,4.01
,50.6,41.0,60.3,6.72
,45.3,35.8,54.7,9.08
,47.0,37.8,56.1,6.00
,46.4,36.8,56.0,3.12
,46.5,38.8,54.2,6.27
,41.1,36.2,46.2,15.02
,49.0,42.4,55.7,9.28
,52.1,43.8,60.4,8.51
,63.4,50.6,76.2,4.88
,67.6,54.4,80.8,0.06
,69.2,55.8,82.5,0.09
,63.0,50.8,75.1,4.06
,55.4,43.4,67.4,1.04
,51.4,39.4,63.3,1.43
,43.4,33.6,53.2,8.23
,42.4,35.6,49.2,10.65
,43.6,37.8,49.3,17.82
,44.8,37.6,52.1,12.21
,46.5,38.7,54.4,9.44
,59.4,48.5,70.2,2.22
,65.9,54.2,77.5,1.64
,67.9,54.7,81.1,0.20
,66.0,53.0,78.9,0.00
,60.0,49.0,71.0,1.71
,54.8,44.6,65.0,6.82
,51.7,41.3,62.1,3.46
,44.2,35.5,52.9,5.58
,44.4,35.3,53.5,2.60
,42.9,38.0,47.8,18.35
,43.9,38.4,49.4,13.06
,50.1,41.5,58.8,3.29
,53.1,42.7,63.5,2.14
,60.4,50.5,70.2,5.44
,66.9,54.2,79.6,0.81
,64.8,52.3,77.3,0.20
,62.3,49.5,75.1,0.23
,55.2,44.2,66.2,3.84
,51.1,42.3,59.8,12.68
,45.8,36.4,55.3,5.78
,37.5,31.6,43.5,23.23
,46.2,39.7,52.8,13.08
,43.0,37.2,48.9,10.88
,49.8,41.4,58.1,6.57
,56.2,46.6,65.8,3.12
,61.8,49.6,74.0,0.53
,65.8,53.5,78.1,0.03
,68.1,54.8,81.4,0.01
,60.2,47.4,72.9,0.85
,55.7,45.0,66.4,0.39
,48.7,39.4,58.1,7.20
,44.1,35.6,52.6,15.69
,43.2,34.9,51.5,4.74
,45.5,39.7,51.3,15.11
,44.8,37.9,51.6,3.88
,46.4,40.1,52.8,14.40
,55.6,45.0,66.2,5.05
,63.9,52.6,75.1,1.70
,69.5,56.6,82.3,0.03
,66.4,53.2,79.7,0.01
,59.9,48.8,71.0,2.38
,55.4,44.1,66.7,3.47
,47.2,38.7,55.7,11.90
,45.8,39.0,52.6,15.12
,43.1,37.1,49.2,24.00
,39.9,33.6,46.2,19.65
,40.0,33.7,46.3,14.16
,49.1,43.4,54.9,13.95
,52.9,46.6,59.2,25.72
,62.3,49.7,75.0,0.11
,67.4,54.1,80.6,0.01
,64.8,52.9,76.6,1.14
,61.4,49.1,73.7,0.69
,56.7,45.7,67.6,0.75
,53.1,43.0,63.2,5.04
,47.0,39.3,54.7,15.41
,48.3,40.7,55.8,6.22
,43.7,38.5,49.0,18.93
,42.2,37.1,47.3,34.33
,45.3,38.2,52.4,8.81
,58.9,49.3,68.4,2.82
,61.5,49.7,73.4,1.08
,66.1,53.9,78.2,1.29
,68.0,55.2,80.8,0.25
,64.9,52.5,77.2,0.58
,55.4,44.6,66.2,0.90
,49.5,38.6,60.4,4.99
,51.2,41.7,60.8,6.82
,50.2,42.6,57.9,11.22
,49.7,42.2,57.1,4.58
,46.6,41.7,51.5,17.84
,50.2,43.0,57.5,9.24
,58.2,49.4,67.1,10.47
,64.5,52.2,76.8,3.60
,67.8,54.7,80.9,0.11
,67.8,54.9,80.6,0.46
,60.2,48.4,72.1,1.14
,56.3,45.1,67.6,3.20
,51.0,40.4,61.6,3.71
,48.2,39.9,56.6,13.39
,45.2,38.2,52.2,14.40
,47.8,39.2,56.5,4.47
,42.0,33.4,50.5,2.42
,48.0,39.5,56.4,5.08
,54.8,44.1,65.5,0.54
,60.6,50.8,70.4,7.22
,64.8,53.0,76.6,1.12
,67.8,54.6,81.0,0.01
,60.5,49.0,72.0,1.68
,54.6,43.7,65.5,3.39
,50.4,40.1,60.7,4.63
,46.8,37.8,55.9,6.02
,43.0,34.6,51.4,4.65
,42.3,34.5,50.0,6.45
,40.4,35.0,45.8,21.54
,48.5,42.2,54.8,16.09
,54.4,45.4,63.4,9.33
,63.7,50.4,77.0,0.01
,66.0,52.9,79.1,0.18
,63.6,51.9,75.3,0.72
,55.9,45.2,66.6,4.37
,53.3,42.1,64.4,3.12
,48.2,39.6,56.7,10.11
,41.6,34.3,49.0,26.60
,42.7,35.2,50.2,6.46
,43.8,36.4,51.1,19.17
,41.7,33.6,49.8,7.79
,45.2,38.6,51.9,11.81
,56.2,46.6,65.7,5.60
,64.0,51.4,76.5,0.56
,66.3,53.4,79.3,0.03
,64.2,52.2,76.0,0.57
,58.0,47.0,69.1,1.43
,50.3,40.6,60.1,5.28
,44.8,35.8,53.7,9.14
,43.3,37.3,49.3,22.75
,41.8,34.1,49.5,8.80
,45.7,38.4,53.0,6.10
,43.0,37.8,48.2,19.91
,44.8,38.4,51.3,11.99
,54.6,45.1,64.1,7.06
,62.4,51.3,73.4,3.12
,64.0,50.9,77.1,0.07
,65.5,52.4,78.5,0.08
,56.8,46.3,67.4,6.03
,49.4,39.4,59.3,5.80
,45.5,36.2,54.8,12.57
,44.8,35.9,53.7,11.81
,45.9,39.4,52.3,10.23
,45.6,40.6,50.6,14.67
,41.5,34.6,48.4,8.77
,46.5,38.8,54.2,11.04
,52.7,43.4,62.1,5.11
,63.4,50.3,76.5,1.04
,65.4,51.8,78.9,0.19
,66.7,53.2,80.2,0.20
,59.6,48.3,71.0,1.41
,55.8,44.4,67.2,5.27
,48.1,37.2,58.9,3.01
,43.3,35.0,51.6,11.14
,43.7,36.0,51.5,11.00
,46.1,38.0,54.2,4.73
,40.8,34.4,47.3,17.71
,50.3,43.5,57.2,11.07
,55.0,44.8,65.2,3.14
,64.0,50.6,77.4,0.15
,64.9,52.4,77.3,1.29
,65.1,51.6,78.6,0.05
,57.9,45.4,70.4,1.00
,54.4,43.2,65.7,0.77
,45.8,35.4,56.2,4.66
,43.0,34.1,51.9,9.31
,43.9,35.6,52.2,5.86
,39.7,33.2,46.3,17.42
,40.5,34.6,46.3,16.50
,48.1,39.6,56.6,10.71
,52.6,43.5,61.8,9.70
,60.3,48.4,72.3,1.55
,64.7,51.9,77.4,0.70
,65.2,53.3,77.0,1.30
,57.5,45.5,69.4,1.26
,54.4,42.8,66.1,1.66
,48.7,38.2,59.3,5.02
,48.6,38.6,58.6,6.38
,42.8,36.6,49.0,15.13
,41.7,33.4,50.0,6.66
,44.6,37.3,51.9,18.87
,45.7,39.9,51.6,21.30
,55.2,43.6,66.8,1.25
,63.2,49.9,76.4,0.54
,64.8,51.1,78.6,0.08
,67.0,54.2,79.7,0.06
,61.8,50.9,72.7,1.77
,55.3,43.5,67.1,3.16
,48.4,38.8,58.1,5.94
,41.4,34.1,48.7,16.25
,45.6,35.6,55.6,7.70
,43.9,38.5,49.3,23.28
,45.1,38.7,51.5,23.64
,47.5,40.0,55.0,13.24
,53.9,44.6,63.2,5.50
,60.5,47.9,73.1,0.85
,67.7,53.5,81.9,0.01
,67.3,54.0,80.6,0.50
,57.0,47.0,67.0,3.56
,55.0,45.8,64.3,7.40
,48.1,38.7,57.5,9.51
